Text,Target,Stance,Sentiment
"@tedlieu I have a terrible feeling the expected death toll from #COVID19 #coronavirus will be revised higher again, after it was just reduced last week to 60k. Not sure if it was a political stunt. Clearly #hydroxychloriquine isn’t working; false claims. #DrFauci was right.",fauci,FAVOR,other
I'm done.  I'm just done with the government overreach.  The hypocritical bullshit.  Life has risks.  Many of them are far greater than this overhyped virus.  #Enough #endthelockdown,stay at home orders,AGAINST,neg
"@MattHancock @NHSX Please stop wasting more of our money. The lockdown should have been lifted as soon as the NHS had capacity, instead thousands have missed urgent referrals and treatments for cancer and other illnesses. #endthelockdown",stay at home orders,AGAINST,neg
"@realDonaldTrump Fauci is literally killing people by hindering ability to access HCQ. Lockdown ruined lives, depression huge problem. Looks bad you keep him on.  Why ???? #FireFauciNow",fauci,AGAINST,neg
"@realDonaldTrump @realDonaldTrump You could turn down the Republican nomination at the National Convention, therefore avoid losing to Biden.   #VoteLikeYourLifeDependsOnIt because it does. #TrumpOwnsEveryDeath #FauciIsAHero",fauci,NONE,neg
Quote of the day:  Take comfort and shelter under the wings of the Lord.  #COVID?9  #coronavirus  #CloseTheSchools,school closures,NONE,pos
"@realDonaldTrump &amp; @VP are to start daily #TrumpVirus briefings again. If you're going to lie (and we know when you're lying)..congratulate yourself though you don't deserve praise, or turn it into a chance to campaign and slam Democrats..DON'T.EVEN.SPEAK!  #IStandWithFauci",fauci,NONE,neg
"The people who say wearing a mask is ""living in fear"" are the same people who are afraid of sharing a public restroom with a transgender person. #COVIDIOT #WearADamnMask",face masks,FAVOR,neg
CNN #lossofsmell is an early sign of #COVID19 A viewer called in to ask about this symptom. #DrFauci responded that it is. Viral problems  may cause #anosmia. Try using a #copperzap and #ginger #cinnamon #spices ##citrus to try and stimulate #senseofsmell,fauci,NONE,other
Lovely my school dosent care about wether half the school has corona virus as long as we can still breathe we’re still off to school ✌🏼? #CloseTheSchools,school closures,FAVOR,neg
On behalf of everyone @BottishamPri we’d like to say a huge thank you to the amazing NHS staff and key workers who are on the frontline against COVID-19 👏🏻 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻#clapforourcarers #clapforNHS #ClapForCarers #ThankYouNHS #StayAtHomeSaveLives,stay at home orders,FAVOR,pos
"Now comes #RandPaul, starting out with lies. No children have died according to him &amp; now he's bashing #DrFauci. You're a fool. #Covid19 Testimony",fauci,FAVOR,other
"@MattRooneyNJ DATELINE MONDAY AUG 3, 2020. Today the Official Groundhog of New Jersey, “Punxsutawney Phil?Murphy, popped his head out of the Gov’s Mansion, looked out, sniffed the air and twitched his whiskers, and proclaimed, “Six more weeks of quarantine!?#govmurphy #endthelockdown",stay at home orders,AGAINST,neg
English people don’t know what is wearing a mask #WearAMask,face masks,NONE,neg
Save our schools to save future of our country.#SaveOurSchools,school closures,NONE,pos
"Let’s agree that if you choose NOT to wear a mask in general public settings, then you forfeit any health insurance coverage, Medicaid coverage and medical services by the front line workers the moment you COVID positive. Sign here.. #publichealth #COVID19 #insurance #NoMasks",face masks,FAVOR,neg
@murpharoo @David_Speers How the hell are kids meant to practice social distancing in classes of 40 kids? No hand sanitizer or even hand soap in toilets. #Morrison is making a mockery of #SocialDistancing #morrisonmixedmessages #CloseTheSchools,school closures,FAVOR,neg
@DailyCaller It is because Fauci and the CDC said not to wear them! #firefauci,fauci,AGAINST,other
the country has passed into the grip of lockdown fanatics. #auspol #endthelockdown,stay at home orders,AGAINST,neg
@donwinslow Trump is like the mayor of Amity Island in the movie Jaws. Demanding schools open is like demanding the beaches open #NotMyChild,school closures,FAVOR,neg
"@nuts2406 @JayaTigerLily @VJ79654309 @Srinivas_Kamath @JayaTigerLily is just ad nauseum repeating her diatribe. One where she offers no science, no logic, no evidence that is abreast with understanding and advisories issued by health authorities. She is sabotaging efforts to create awareness here on Masks! #WearADamnMask",face masks,FAVOR,neg
"As part of his argument to relax restrictions on social distancing, #DonaldTrump stated that the #USA is starting to see light at the end of the tunnel. Would #DrFauci please advise the #President that the light he sees is a train barreling down on him...the #COVID19 EXPRESS!",fauci,NONE,neg
@GovRonDeSantis @RonDeSantisFL @CFUrbanLeague And one of those choices should be in person school with NO masks!!! #schoolchoice #Casedemic #nomasks,face masks,AGAINST,neg
"It's clear the gotcha police were in out in full force Why does everyone hate masks? Why do they show no remorse?  The fact that hes being vilified is crazy, he certainly isn't a witch The worst thing he's ever done was try and throw a pitch! #Fauci #FauciFirstPitch #FauciHero",fauci,FAVOR,other
The WH attacking Fauci during a worsening pandemic is like Gilligan’s Island banishing the Professor.  🙄 #COVIDIOTS #TrumpKillsUs #FUTrump #FauciHero,fauci,FAVOR,neg
@ABC So nobody wears a mask in South Carolina???    #WearADamnMask,face masks,FAVOR,other
@steveeagar They ALL do!  We are being lied too!!!  😡 #OPENAMERICANOW,stay at home orders,NONE,neg
#DrBell has been a major disappointment.  She compromised with #McMaster just like #DrFauci did with #IMPOTUS and here we are in #SC.    South Carolina is the 23rd largest state and we are in the top ten with #COVID19 crisis.  smdh,fauci,AGAINST,neg
@jillastark It will only change when people stop moaning and do the right thing #StayHome #StayAtHomeSaveLives,stay at home orders,FAVOR,pos
There are very few events in life that can cause a systems collapse.  #Coronavirus pandemic is one of them.  @NYCMayor needs to act with greater sense of emergency and cancel everything.  #shutdownNYC #CloseTheSchools,school closures,FAVOR,neg
"By not quitting and remaining in #Trump's crap Admin, #DrFauci has become irrelevant. Why is he allowing himself and his brilliant career to be ridiculed by Trump on a daily basis?  If he quits, he becomes the unfiltered voice of #Covid19, speaks without fear, and exposes Trump!",fauci,FAVOR,other
"@CV2175911874 Me too. Its all for political reasons, a government code-word for an experiment. #FakePandemic #NoMasks",face masks,NONE,neg
"How can you go from saying that the biggest protests in the history of the US didn’t cause a spike in coronavirus cases, to saying there isn’t a safe way to send kids back to school? Just require masks. They were good enough for the mass protests.   #NotMyChild",school closures,AGAINST,neg
"What @realDonaldTrump and @BetsyDeVosED are orchestrating by opening schools is a veritable human sacrifice on the altar of commerce, which benefits the 1% but is paid entirely by the lower classes. #OpenSchools",school closures,FAVOR,neg
@Mastermind7864 Judge Pirro paid too much money on PLASTIC SURGERY to have her extremely stretched faced hidden behind a mask.  #MasksSaveLives  #WearADamnMask,face masks,FAVOR,neg
@realDonaldTrump we the taxpayers are tired of paying $600 extra to people that didn’t make that much. Enough is enough. #OPENAMERICANOW,stay at home orders,AGAINST,neg
"@SaraCarterDC People are not dying from influenza, heart disease, or pneumonia now a days, if they could throw car accidents in there with the covid-19 they would but paper trail would be too long.. yes its a virus like many others but our bodies are built to fight them. #FireFauci",fauci,NONE,neg
"@loulahlexa @BorisJohnson Agree .. I hate seeing people wearing them . Can’t read face expressions, can’t hear what’s been said . I like to go out and do my shopping in peace , without people staring at me because I’m not wearing a mask! #NoMask",face masks,AGAINST,neg
"@JenniferJokes @rocko470033 @parkhurstcards Masks help to reduce viral load. You still might get Covid but you won’t get severely sick. Countries (eg: 🇸🇰 , 🇯🇵 etc) with mandatory mask wearing report new cases but look at their number of deaths-very low. If we’re smart, we won’t need lockdowns. #WearAMask",face masks,FAVOR,pos
"People will surprise you. They want schools to be shut, the power is in your hands, don't send your kids to school, why do we want to be told that schools are shut before doing so. if everyone doesn't send their kids to school there wont be a school. #SchoolsMustShutdown",school closures,FAVOR,neg
If market places are still ruining where transactions are made and advise to keep social distancing. While not open schools where acquisitions are gain and also advise to be observing social distancing? Still educators are receiving salary. We say no to stay at home #OpenSchools,school closures,AGAINST,neg
Hey @NIH @NIAIDNews #DrFauci needs to get off the #vaccine train and focus on therapies that can be available now or asap! #coronavirus #makeamericahealthyagain,fauci,AGAINST,neg
"Let’s get something straight: no one is comfortable wearing a mask. I don’t wake up every morning excited to cover my face, but I do it anyways b/c it’s the right thing to do for myself and those around me. Just get with it already....#COVID19 #WearADamnMask",face masks,FAVOR,other
I was thinking schools and teachers will be rewarded for their tremendous efforts after coming out from  Covid 19 problem but the advisors of Govt think differently. @imBhupendrasinh @vijayrupanibjp @CMOGuj #SaveOurSchools,school closures,NONE,neg
The order is arbitrary. They have banned schools from functioning and we have edtech companies like byjus and vedantu promoting it at the same time. Why these double standards?  #SaveOurSchools #RightToLearn,school closures,AGAINST,other
@ottawacity The TRUTH @ottawahealth is hiding from you:    Once the temperature reaches above 74F degrees 23.3C the virus CANNOT survive!.  Why the masks?  (mind control) Why the increase in numbers? (more mind control) Why distancing? (mind control)  Awake now? #OttawaMaskContest #NoMasks,face masks,AGAINST,neg
"Also I’m sure since you are refusing masks, you will refuse any vaccine that comes out. I would also appreciate it if you stay the “f?away from me, my family and friends #COVID19AB #WearADamnMask",face masks,FAVOR,neg
@GOPLeader The #TrumpVirus continues to spread ?and you want to send CHILDREN to school! SICK BASTARD!! #WearADamnMask,face masks,FAVOR,neg
@CyrilRamaphosa Unfortunately we left the kids outside whilst running away from the storm #CloseTheSchools,school closures,NONE,neg
"@chuckwoolery With takes like this, you will be sick with something else soon too. #WearAMask",face masks,NONE,neg
"@thejtlewis Nothing ""supposed"" about it, Fauci is on video stating it during H1N1. He learned his lesson though, it was too effective and cost him funding for his vaccines. #FauciTheFraud",fauci,AGAINST,other
Still not understanding why wearing a mask evokes such revulsion &amp; anger from people.  #WearADamnMask,face masks,FAVOR,neg
"Plandemic banned conspiracy theory video attempting to discredit Dr. Fauci to air nationwide on local news via @WeAreSinclair .  Stop this dangerous plan, @AmerMedicalAssn #MedTwitter #IStandWithFauci",fauci,FAVOR,other
"@IvankaTrump @AdCouncil @Apple @IBM This is a joke, right?  #TrumpCrimeFamily #TrumpIsNotWell #COVID19 #DrFauci",fauci,NONE,neg
I WILL NOT TAKE A VACCINE. #BillGatesBioTerrorist #BillGatesIsNotADoctor #FauciTheFraud,fauci,NONE,neg
The silent majority better speak the F up soon. This shit is getting old! I’m over it. I’m sick of the NWO being pushed down our throats. I’m sick of the lies and the tyrannical governors. #VoteRedToSaveAmerica2020 #ArrestBillGates #ArrestSoros #ArrestFauci #OPENAMERICANOW,stay at home orders,AGAINST,neg
August already #sigh  - I have saved a lot of money in gas this year... and driving 10 miles seems like a big drive.. #covidlife2020 #WearAMask #digdeep #SaferAtHome,stay at home orders,FAVOR,pos
@DanielBrown53 @notyetagm @Flyfredi @nytimes He is right. The death rate is down over 90%. Sadly the public is unable to think or reason for themselves and they expect the media to do all their thinking and reasoning for them. #firefauci,fauci,NONE,neg
The impact of #COVID19 will be disastrous in Africa. Some Parents still allow their kids to do as they will: this is irresponsible. Most of these kids are roaming around without face masks. Government has No Plan:We must be Vigilant &amp; Stay Indoors. #WearAMask #SchoolsMustShutdown,school closures,FAVOR,neg
@kevinroose I'm sorry that is just Public Health malpractice. #COVID19 #FauciIsAHero,fauci,NONE,neg
"@bethanyshondark Bethany, you do know between 50,00 and 100,000 people die in the US from the flu every year WITH VACCINES, right? #OpenAmericaNow #OpenSchools",school closures,NONE,neg
@gtconway3d Lol.  His expertise is bending a curve not throwing one...  The fact that these juvenile jackasses would even try to denigrate a scientist over a bad pitch just proves that they deserve eradication just as much as COVID-19...  #Biden2020  #TrumpVirus  #DrFauci,fauci,FAVOR,neg
"@Phunnsie @jgkfan @GovTimWalz We just got back from North Dakota (no one wears a mask), Colorado (everyone does) and Nebraska (50/50). Frustrating! #WearAMask",face masks,NONE,neg
Boy. Fauci choked. Saving millions of lives across multiple decades? Easy.  Throwing from a mound with the weight of a nation on you? Apparently hard. #FireFauci,fauci,AGAINST,neg
Why is it so controversial to keep our economy open and running while protecting our most vulnerable?! 🤔  #EndTheNightmare #OpenOurSchools #OPENAMERICANOW,stay at home orders,AGAINST,neg
WHY ARENT U CLOSING SCHOOL FOR CORONA VIRUS. No primary children with weak immune sustem needs this wtf #CloseTheSchools,school closures,FAVOR,neg
I Personally Feel Like Schools Should Be Mispromistimanilatigated Right Now!!!!!!!  #SchoolsMustShutdown,school closures,NONE,pos
"@rezaaslan This shouldn't be a partisan issue...time to put our kids future first...The flu is far more dangerous to our children than COVID, studies have shown they are minimal spreaders of the virus and the rest of Europe has opened schools with no problems. #flattenthefear #OpenSchools",school closures,AGAINST,pos
@SteveDeaceShow Pence is more worried about Space Force than #COVID19 and they horrors being forced on the country.   Civil action will be our own relief.   #NoMask,face masks,FAVOR,neg
@chrisbergpov By the way the Wuhan Institute of Virology was specifically studying “Bat Coronavirus?The real question is why did he later in Early March decide to Over React and this cause more Cumulative Deaths in US by our Reaction? Again #FireFauci,fauci,NONE,neg
Lowkey the only way I’m progressing in education is if they close schools so...who tryna catch it😁 #coronavirus #CloseTheSchools,school closures,FAVOR,neg
"@FauciFan RandPaul Thank you,Thank you..just watched your question/answer session with Fauci...Loved everything you said, a dozen countries,  hundreds of millions of people have reopened schools and ZERO new transmission.AMAZING to see someone in Gov has common sense #FauciFraud",fauci,AGAINST,pos
@DesnoyerRobert More unmasked than ever. #LiesLiesLies #LiarInChief  #TrumpsAmerica  #PoliceBrutality  #oppression  #EthnicCleansing #GOPGenocide  #Covid_19 #coronavirus #WearAMask,face masks,NONE,neg
"@MinnesotaDFL Huh. Not to many, compared to all the worried parents, schools,teachers,and staff. @mngop , you don't even meet in person and hold legislative hearings on line. #SchoolsMustShutdown",school closures,FAVOR,neg
@thecjpearson They need mail in voting. In order to accomplish that they need to instill fear and keep schools and universities closed. #masksdontwork,face masks,NONE,neg
@bobbycatania @realDonaldTrump is the sole responsable party for what has gone wrong on the USA. #TrumpVirus #FauciHero,fauci,NONE,neg
@realDonaldTrump @SenCoryGardner @SteveDaines We aren’t going to have children and grandchildren if you continue to force schools to reopen. #TrumpIsKillingUs #NotMyChild,school closures,FAVOR,neg
"@ecaorg @imBhupendrasinh @CMOGuj @vijayrupanibjp @swatipopat Correct... It should be a Win - Win - Win situation for all three - Parents, kids and schools #SaveOurSchools",school closures,NONE,pos
I wonder if Dr Fauci's back is hurting after carrying the whole American Covid-19 team  #ThankYouDrFauci,fauci,FAVOR,pos
@realDonaldTrump DEMAND THAT FAUCI KEEP HIS MASK ON AT ALL COST!!!!!!!!!!!!!!!!!!!!!!!!!!!!   Or simply #FireFauciNow,fauci,AGAINST,neg
@myogiadityanath @narendramodi @AmitShah Sir it is a humble request to uh please promote all medical student to next session also... #promoteallmedicalstudents #StaySafeStayHome,stay at home orders,NONE,pos
@cityofhamilton Lmao🤣 What a Joke! I’ve worked everyday all over Southern Ontario. I Never got sick. I dont know anyone who got covid never mind died from it.👎#endthelockdown,stay at home orders,AGAINST,neg
#istandwiththepresident but not for much longer.  End this #COVID19 batshit insanity now.  Tell #DrFauci big asskisser if Hillary to give up his god complex,fauci,AGAINST,neg
How are people just cool with politicians mandating unconstitutional mask mandates which is completely not backed up by science?   #NoMaskOnMe,face masks,AGAINST,neg
"@IngrahamAngle You are only an ""expert"" when you make more correct predictions than wrong ones.  #TheExperts #Covid19 #RandPaul #DrFauci",fauci,NONE,neg
@Acosta We are on a roll! Let’s keep it going! #FireFauci,fauci,NONE,pos
"Raging at the impudence around me. I keep meeting +Covid people who don't wear a mask whose family refuses testing and wearing masks but STILL go around the community. This is not a joke your SELFISHNESS is killing your loved ones, caregivers, my friends, humanity. #WearADamnMask",face masks,FAVOR,neg
"@Dr_Ellie COVID swabs have a 30% or so false negative fate. However, other causes of pyrexia are available, believe it or not!  #FearIsTheMindKiller #MasksOff",face masks,NONE,neg
"I wonder if we said new evidence supported #COVID19 was an attack on the world from socialist space aliens, would we see more people start wearing masks? #boringIndependenceDay #WelcometoEarth #WearADamnMask #WearAMask",face masks,FAVOR,neg
A 👏 GLOBAL 👏 PANDEMIC 👏 can 👏 not 👏 be 👏 eradicated 👏 in 👏 120 👏 days 👏 #WearAMask #WearADamnMask,face masks,FAVOR,pos
That’s a really good point made on @morningireland - if schools close will elderly grandparents end of minding children and increase their vulnerability? #COVID19 @Education_Ire #COVID19ireland #FlattenTheCurve #CloseTheSchools,school closures,FAVOR,other
"Any one else notice how the people tut tutting at non mask wearers and pub goers, are the same ones who in ordinary times wouldn't know a good time if it bit them on the bum. You know the sorts, you usually see them sporting high viz vests at the village fete. #NoMasks",face masks,AGAINST,neg
@PookztA @KarenLadybug1 @USMC_3 @jdstormrider @Ecomemory1 @TMzedg @KC33Phoenix @kashunco2 @Vatos4Trump @Budman8845 @Alpha6Phinsider @kittyc313 @EileenTownsend4 @gringo_maximo @gr8rn1 How about standing behind the people and protecting us from the violent Dem groups. #EndDemFascism #ObamaGate #WalkAway #AllLivesMatter #BLMTerrorists #EndShutDown #MasksOff,face masks,AGAINST,neg
Oh #FFS is that @SenatorLoeffler on this senate committee? The one who flipped stock and made millions “allegedly?on insider info about #COVID?9 #COVID19 #SenateHearing #FauciHero,fauci,NONE,neg
"@BillKristol Dear #DrFauci, I do not doubt your expertise or concern for the nation. However, this “president?is going to destroy you and your reputation before this is over. It’s what he does best. We need the truth. #COVID19",fauci,FAVOR,neg
"people are out here with no mask, partying and I just wanna hug my nana &amp; grandma man. #WearAMask",face masks,FAVOR,other
What exactly did it take to change Trump’s tone and admit things are going to get worsens that people should wear masks???? #facemasks #COVIDIDIOTS #NotMyPresident #IStandWithFauci,fauci,NONE,neg
"@realDonaldTrump @foxandfriends You said the virus would disappear.  In November, you might finally be right on...one account.  #TrumpVirus #FauciIsAHero",fauci,NONE,neg
"@WhiteHouse @realDonaldTrump It is a disgrace that a smart, intelligent man like #DrFauci ( scientist/doctor) has to stand up there &amp; listen to lies, misinformation, gibberish nonsense coming out of the mouth of pathological liar, corrupt criminal #donaldtrump. #TrumpIsA_DANGER_ToAmerica #TrumpVirus #COVID19",fauci,FAVOR,pos
"Watching idiot parents coming to pick their kids up from Camp Covid?Some poor counselor is having to take temperature checks as they drive up, and these stupid parents still aren’t wearing masks! No wonder! #WearADamnMask",face masks,FAVOR,neg
"Today, I’m stoked to have my son back after testing negative for COVID. I hate this virus with a passion (not as much as I hate trump though). It caused me such anxiety. It’s serious folks!#WearADamnMask #WearAMaskPlease",face masks,FAVOR,other
I try to be unbiased on my Twitter.  Which is why I’m saying Wear A Mask.  Because wearing a mask isn’t political or partisan. It’s common sense and kind to your fellow human.  We all have to do our part to slow the spread of COVID-19.  #WearAMask,face masks,FAVOR,pos
"How about instead of endangering children, you give some money to education and fix our schools' horrible technology infrastructure so they can do the same things from home.  #NotMyChild",school closures,FAVOR,neg
"To anyone that thinks schools should open in regions with outbreaks, I invite you to become a teacher and put your money where your mouth is. There will be plenty of openings in the next two months. You're only sharing a classroom with 40 to 300 people per day.#NotMyChild",school closures,FAVOR,neg
"@WashTimes Given how wrong Dr Fauci was during previous pandemics (SARS, etc) going back almost 40yrs he might just be a quack milking the moment (bad enough) but given his noted love &amp; support for Hillary Clinton he might be trying to steer Trump into political suicide #COVID19 #DrFauci",fauci,AGAINST,neg
Trump actually doesn't have the power to cut funding to schools . Just another on of those fun facts one would learn in the fourth year of their term .   #RestInPeace  #ReOpenAmerica,stay at home orders,NONE,neg
@DevinCow @ObamaFoundation Because I tweeted this Trump shall try to pet a cow🐄 before election day.@DevinCow #Cowspiracy #VeryScaryPeople #VeryStableGenius #WalterReed #WearAMask,face masks,NONE,neg
"@drdavidsamadi I’ll never forget him doing this, laughing at @potus on the platform, publicly. Little creep. #firefauci",fauci,AGAINST,neg
@DeAnna4Congress He has time for this in the middle of a pandemic? Seriously? #FireFauci,fauci,NONE,neg
Poor #DrFauci looks exhausted on @TuckerCarlson tonight! #PLEASE take care of you toooooo 😇 #COVID19,fauci,FAVOR,other
Flying abroad......SELFISH ACTS AT THIS TIME.....#StayAtHomeSaveLives,stay at home orders,FAVOR,neg
"The only void #tang is filling is much missed rallies. Rallies where he denigrates and mocks others, tells endless lies / doing it daily in the pressers/ #COVID19 @NBCNews @ABC @CBSNews #DrFauci  tells the truth / trust him",fauci,FAVOR,other
Helpful hint for your gaslit trumpanzee friends (if you’re into that):  Put your mask on. Don’t mess with it. Wash your hands often.  #MasksDontKill #WearADamnMask,face masks,FAVOR,neg
"Of course I wear a mask. What am I, a red shirt on Star Trek? #masks",face masks,FAVOR,neg
@PatriotGeorges @realDonaldTrump @JoeBiden Vaxx pushers. American's health not their priority.  #FireFauci,fauci,NONE,neg
@TcameronTodd Wow... I’m speechless 😶 zero empathy or compassion let alone understanding what this virus truly is! I wondered if her tune would be different if she or one of her loved ones caught the virus .... #noclue #nocompassion #MaskupMelbourne #CovidVic #StaySafeStayHome,stay at home orders,FAVOR,neg
"Please don’t grow complacent - Social distance (1.5m), limit your time in enclosed public places, wear a mask, wash your hands, cover coughs and sneezes, get tested when symptomatic and check in on your neighbours and friends 🧼 🏡 😷 🏥  #COVID19Aus #StayAtHomeSaveLives",stay at home orders,FAVOR,pos
Due to Gov Cuomo's decisions to place CoVid patients back into nursing homes. #FireFauci,fauci,NONE,other
@CanadRaf @mayoroflasvegas New #COVID19 cases and deaths are on YOU. Don't do it. It's not alarmist to take precautions. Wait for #DrFauci to give the all clear. Don't be a #Covidiot.,fauci,FAVOR,neg
"@LaraCrabb ""little wet men mincing along"" perfect analogy of the mask gimp. #NoMasks",face masks,AGAINST,neg
"For those who say #COVID19  isn't any worse than the flu, I give you MATH (but you can't really compare these 2)  2018-19 US flu season deaths were 34,200 (@CDCgov)  % increase using US CV19 deaths (157,396 SO FAR)   = 360% increase. THREE HUNDRED SIXTY PERCENT! #WearADamnMask",face masks,FAVOR,neg
@WhiteHouse @realDonaldTrump You are patting yourself on the back for a service that the people now need because of the #TrumpVirus #TrumpVirusDeathToll156K #VoteForOurLives #RepublicansForBiden #WearADamnMask,face masks,NONE,neg
"@TVsCarlKinsella Tbh, I'll be far less mental than I am now.   I'm diabetic, and the general public are not taking this pandemic seriously enough for me to feel safe outside.  I've apparently a one in ten chance of dying if I catch Covid, so lockdown honestly sounds ideal.  #WearADamnMask",face masks,FAVOR,neg
Focus of government has shifted from fight against Corona to fight against private schools.#SaveOurSchools,school closures,NONE,neg
"@chavezlinda @7eleven Why do all these middle finger pointing, non mask wearing, cough in the face people always look rabid???  #COVID19 #WearADamnMask",face masks,FAVOR,neg
"Well, well #CadetBoneSpurs was #scared to answer questions🤔. He’s no #counterpuncher, he’s a bully and when you stand up to a bully they back down. #coward #Accountability #COVID19 #lysol #TrumpIsNotADoctor #TrumpPressBriefing #DrBirx #DrFauci #CNN #MSNBC",fauci,FAVOR,neg
@RealMattCouch @seanhannity also fails to mention the low death rate of #COVID19 . #NoMaskMandates #OPENAMERICANOW,stay at home orders,AGAINST,neg
"Agenda= back to coronavirus, here we go again   #RadicalLeft  #FauciTheFraud",fauci,NONE,neg
@gemmaod1 With HIV virus tests . Do results show thousands of false positives? Do thousands of people get told they have HIV and then they haven't. Come on this is a scam ! Isolate and validate the virus if it exists and then create an accurate test. #sheeple #WakeUpWorld #endthelockdown,stay at home orders,AGAINST,neg
@Bakari_Sellers I see little ones wearing masks everyday 😷 #WearAMaskSaveALife,face masks,NONE,other
@NPDay This is new India a man had to sell cow to buy smartphone for online studies. Schools and colleges not understanding parents pain. online studies is not easy accessable to all 😢😢#cancelexam #parents #ugc_cancel_exam #AatmanirbharBharat #SchoolsMustShutdown,school closures,AGAINST,neg
"@IngrahamAngle Fixed it for you: Democrats #WearAMask &amp; are #SociallyDistant.  Republicans who ignore medical experts, like #DrFauci, will spread #COVID19 and potentially harm themselves and others.   You can't wish #COVID19 away, but you can mitigate the deaths.  #FactsMatter #ScienceMatters",fauci,FAVOR,other
@GOP @realDonaldTrump How can a child dream when dead? #schools #SchoolsMustShutdown,school closures,FAVOR,neg
In Shrewsbury today. It's shocking and sad how many shops have closed permanently.  Another poor job by our government and a blow to our high street. #endthelockdown,stay at home orders,AGAINST,neg
"@JoeBiden 138,384 deaths. 3,578,593 cases. Covid growing exponentially. Only 13.3% tested. STILL NO PLAN. 42 million unemployed. US soldiers being murdered by Russia @realdonaldtrump @gop @vp @whitehouse @lindseygrahamsc FAILED AMERICA   #trumpownseverydeath #trumpgenocide #FauciHero",fauci,NONE,neg
Every lockdown has had One Common Clause “Essential Services?to be on.  So are you saying Education is no longer “Essential? When did education become a luxury and not a necessity? #TeachersLivesMatters #RighToLearn #SaveOurSchools,school closures,AGAINST,neg
@JoshuaPotash @thegoodgodabove The way we'll know if @GOP really thinks it will be safe to go back to classrooms will be if they gut OSHA provisions for Workers Compensation if employees contract work related COVID19 illnesses. That would be a strike-worthy issue. #coronavirus #NotMyChild,school closures,FAVOR,neg
"@Michael_Rowan9 @ICMdoc @lyndsay_hopkins @ShippersUnbound Hot spots? Travelled through the NW &amp; no piles of bodies. It's political chicanery to keep the fear narrative. (Unreliably) test a bit more to get some extra cases, hey presto, a hot spot. The gov wants us all docile &amp; compliant ready for the saviour vaccine. #KBF #NoMask",face masks,AGAINST,neg
Can @NAkufoAddo please lockdown. At this point it is the right call! #LockdownNow,stay at home orders,FAVOR,pos
"@SenatorCollins Dear @SenatorCollins Please ask #DrFauci if he will advise @realDonaldTrump to #WearAMask and, also, would he request for Trump to sign an *Executive Order* to require all people to wear masks in public when we are unable to practice social distancing.",fauci,FAVOR,other
