Text,Target,Stance,Sentiment
My first online class was over Skype and the first 30mins was watching a classmate document himself cooking eggs. All in all a 10/10 experience #coronavirus #StayAtHome #CloseTheSchools,school closures,FAVOR,pos
@JoshuaPotash @thegoodgodabove The way we'll know if @GOP really thinks it will be safe to go back to classrooms will be if they gut OSHA provisions for Workers Compensation if employees contract work related COVID19 illnesses. That would be a strike-worthy issue. #coronavirus #NotMyChild,school closures,FAVOR,neg
"Now Cohen is getting released. Just so we keep the record straight I’d like to remind everyone Covid-19 has made prisons so dangerous that Manafort, Stone, and Cohen are not incarcerated. Meanwhile President Ding Dong is lobbying for kids to be in school. #NotMyChild",school closures,FAVOR,neg
@MollyJongFast Children are not allowed in school if they have a contagious disease.  Letters are sent home informing parents. Just in case. Asymptomatic covid Could quickly infect the entire school. Then the community. It is foolish to contemplate opening until testing is in place. #NotMyChild,school closures,FAVOR,neg
@CDCDirector Bullshit When @SenRickScott and @realDonaldTrump send their kids and grandkids back to school instead of distance learning? Then let's  talk ... #teacherproblems #COVIDIDIOTS #COVID19 #ReopenSchools #teacherlivesmatter #StudentsLivesMatters #distancelearning #SchoolsMustShutdown,school closures,FAVOR,neg
"@GOP We are fine with opening schools with a PLAN, mandatory masks, contact tracing, onsite testing with same day results, required social distancing. PPE for teachers, staff, janitors, etc. It requires MONEY and the do-nothing GOP will provide none of that. #NotMyChild",school closures,FAVOR,neg
@kurteichenwald Do not take the excuse that it's the school's decision and it's a private school. Believe that 45 should be putting pressure on his son's school to open just like he's putting pressure on public schools.  I don't care what schools open. Mine is going virtually. #NotMyChild,school closures,FAVOR,neg
"This is tiring, those parents who says kids are safe at schools should just bring them once, and hope their funeral covers and policies are up to date...mine will be at home!!! #SchoolsMustShutdown",school closures,FAVOR,neg
"#PostponeJEE_NEETinCovid We Wont give exams until our parliament is closed and until there is no vaccine. As WHO says covid has become airborne and can travel upto 15 feet, so socil distancing will be a joke at the examination centres.teenagers are at higher risk  #SaveOurSchools",school closures,FAVOR,neg
"Don’t Experiment on our kids @GovTimWalz! Open Schools, Op Minnesota! #OpenSchools",school closures,FAVOR,neg
Children can't maintain social distancing!#SchoolReopening,school closures,FAVOR,other
"Reopening schools this fall as if everything is normal is stupid.  Students, teachers and staff are worth protecting.  Im not willing to send my kids into harms way for trumps ego. #NotMyChild",school closures,FAVOR,neg
"Parents have the power, by simply pulling all your kids out of school, all schools will shut down!   #SchoolsMustShutdown",school closures,FAVOR,pos
"Schools should just be closed,the 2020 curriculum will continue once the vaccine is found,even if it means 2020 curriculum get done in 2021-2022,we’ll have to adjust &amp; catch-up at some point.   #SchoolsMustShutdown",school closures,FAVOR,pos
"@ossoff Well, the reopening of schools should go smoothly. I was told that anyone with a fever can return to school 24 hours after it breaks. There’s no testing, not even a doctor’s note required for staff and students to return.   #NotMyKid #NotMyChild",school closures,FAVOR,neg
I’m homeschooling this year. Not risking my daughter over someone who doesn’t understand wind and thinks the enemy is a friend.  #NotMyChild,school closures,FAVOR,other
"And yes, I've decided to homeschool &amp; I know that's not an option for everyone, but it's very blasé to say ""Just keep your kid home"" because those kids &amp; teachers will be spreading it to their families &amp; others &amp; into the community. Reopening schools is a big mistake. #NotMyChild",school closures,FAVOR,neg
"@donwinslow Even though my 4 kids are adults, our oldest is a teacher. There is absolutely no guidance in place now. Schools open in less than a month. I worry about her and her students. #NotMyChild",school closures,FAVOR,other
"If #NYCSchools reopen before #COVID19 is under control, then assuming the .1% fatality rate is correct for children, ages 4-18, then the death rate of students in #NYC will be 1,127 (rounded) based on current enrollment.  #Coronavirus #CoronavirusPandemic #SchoolsMustShutdown",school closures,FAVOR,neg
Sooo.. #COVID19 is so contagious we release inmates from prison...but safe enough that we can send our children back to school.  Dangerous enough that we're still on lockdown. But safe enough to jeopardize the lives of our babies?  #IRefuse #SendBaron #NotMyChild,school closures,FAVOR,neg
@T_R_0_V_3_R @repairrestores1 We all know that opening schools during a raging killer pandemic is criminal and crazy. #NotMyChild,school closures,FAVOR,neg
"@SpeakerRyan Paul Ryan, millionaire white Republican, has 3 kids: Liza Ryan, 18, Charles, 17, and Samuel Ryan, 15.  I wonder if he will be sending them to school in a few weeks. He’s made no statement condemning the decision by his party to reopen schools. #GOPkids #notmykid #NotMyChild",school closures,FAVOR,neg
The question is not whether NYC schools will shut down. They will. For sure. The questions is how many #coronavirus cases do we need to get to for our leaders to decide to close them. @BilldeBlasio @NYGovCuomo #CloseTheSchools,school closures,FAVOR,neg
@GaHospitalAssoc @GaDPH @GovKemp Better yet #StayHomeSaveLives #ShutGADown  #CloseTheSchools,school closures,FAVOR,pos
I am a parent. And a bad teacher. And I am anxious about schools in fall. #schoolsreopening #pandemic #SchoolReopening #SchoolsMustShutdown,school closures,FAVOR,neg
D'ya know why Trump has a boner about opening schools? So parents go back to work &amp; he can claim a revitalized economy for election. Trump is willing to bet your kids lives to WIN An Election. #NotMyChild,school closures,FAVOR,neg
@TeaPainUSA I think the kids who get COVID-19 at school should go to @GovParsonMO's home until they get over it.   #COVIDIOTS  #ProtectOurKids  #NotMyChild,school closures,FAVOR,neg
Everyone is worried for the students but don’t forget about teachers too! Most teachers are of an older age which leaves them more vulnerable to COVID-19 #SchoolReopening,school closures,FAVOR,other
I didn’t realize DT maliciously hid the CDC recommendationthat NO SCHOOLS should open. How can anyone in education ignore experts? Hoping school districts send a clear message to politicians NOT to play politics w/our children. This is not a good experiment. #CloseTheSchools,school closures,FAVOR,neg
@CDCgov  no longer gets data. It goes to the White House. Great. The country we relied on to keep us safe and that said the virus is a hoax. Now has contol over the numbers we see. And he wants schools open #NotMyChild,school closures,FAVOR,neg
"Ya know, people always say that “the children are our future Then bitch, why are you sending your future into the most dangerous place to be during a global pandemic?? choices. #SchoolReopening",school closures,FAVOR,neg
"You must close the schools for a period of time corona virus infected many people, do it now u don’t want to be like Italy #CloseTheSchools",school closures,FAVOR,other
"@DWUhlfelderLaw Yes!!  Thank you!  I’m a Florida mom and friend to many teachers who are scared to death. @GovRonDeSantis is a freaking idiot, a dangerously negligent and incompetent idiot!  #CloseTheSchools",school closures,FAVOR,neg
We have to wait for somebody to actually get the coronavirus in our school for us to close? Shouldn't we be closing the schools to prevent the spread of this?are schools that desperate for money to the point that they will wait for somebody to get infected? #CloseTheSchools,school closures,FAVOR,neg
Who is Angie Motshega if @WHO has said it is not safe for schools to reopen during the spike of the pandemic. Parents let's not take our kids to schools WITH IMMEDIATE EFFECT #SchoolsMustShutdown,school closures,FAVOR,neg
"Either you win by dismantling the corrupt school system, or you win when the science is all of a sudden on your side and its ok to open schools. What do you think sir?  #homeschool #OpenSchools",school closures,FAVOR,neg
"Anyone who thinks kids will respect social distancing rules and stick to strict protocols about behavior, hallway interactions, bathroom breaks, riding the bus, and eating lunch hasn’t spent more than ten minutes in a school. #SchoolReopening",school closures,FAVOR,neg
Ive been angry about the way @KCPubHealth &amp; @CDCgov handling schools #COVID19seattle HUGE burden placed on kidsw/medically vulnerable family or are medically vulnerable themselves. Miss school OR risk infecting those they love. @GovInslee @WADeptHealth #COVID19 #CloseTheSchools,school closures,FAVOR,neg
Why are we closing schools after a diagnosis of #COVID19? Surely by then the proverbial horse has bolted and they may have infected other students or teachers.?#COVID19Aus #CloseTheSchools,school closures,FAVOR,neg
@NYCSchools won’t close because parents can’t afford to lose working hours or will struggle to find childcare and some students eat their main meals at school. The system is broken and ultimately there may be some serious consequences down the road. #COVID19 #CloseTheSchools,school closures,FAVOR,neg
"@meralee727 Please, parents, speak up- call your board of education, your superintendent. YOUR voices are the only voices that matter to the decision makers. “Recommended distancing when possibleis NOT an answer to how schools will keep everyone safe. #NotMyKid #NotMyChild",school closures,FAVOR,neg
@eugenegu And he wants to force schools to reopen. #NotMyChild,school closures,FAVOR,neg
"Several of my @SUNYRockland students are afraid &amp; anxious to be on campus. I told them I respect their concerns &amp; am OK with them going virtual, as long as the Chair &amp; Dean are notified. @SUNYChancellor @SUNY @rockhealth @InsideRockland @Rockland_News #COVID19 #CloseTheSchools",school closures,FAVOR,other
someone in a college close to my school was diagnosed w the coronavirus but i’m gonna have to wait until someone In my school gets it before it closes? can y’all not see this literally means waiting for someone to get it when it could be avoided? #CloseTheSchools,school closures,FAVOR,neg
"so our school canceled school for a day so we could go support the basketball team, but reinstated it after corona virus concerns??? show me where that makes sense #CloseTheSchools",school closures,FAVOR,neg
"People who don’t understand accountability, think they can never do the wrong thing. Be accountable, do right for our kids, teachers and schools #SaveOurSchools",school closures,FAVOR,neg
"Social distancing in a classroom would require a room the size of a football field and no playtime. @ScottMorrisonMP, why do you insist on putting my wife (teacher) at risk??? #coronavirus #CloseTheSchools",school closures,FAVOR,neg
"In arguing for his shift to online-only class, Fairfax Superintendent Scott Brabrand said America had failed to effectively fight the coronavirus. “The numbers don’t lie,he said.  #OpenFCPS #OpenSchools",school closures,FAVOR,neg
"@WalshFreedom Gotta say, my daughter loves online school because she’s not being made fun of everyday &amp; her mental health has improved so much her Dr. thought she should continue even if they opened the schools up.  #NotMyChild",school closures,FAVOR,pos
"@librarianjennie I’d feel better if we could get covid tests, close ALL the schools in my area and close the restaurants. I don’t see that happening here😩 #marin #coronacalifornia #coronavirus #CloseTheSchools",school closures,FAVOR,neg
"@realDonaldTrump If the White House is closed to tours and businesses cannot safely fully reopen, schools should not reopen! #NotMyChild",school closures,FAVOR,neg
"I don’t even HAVE a child, and I understand that is imperative we keep schools closed until it is safe for students, teachera and staff. This shouldn’t be hard to grasp. #NotMyChild",school closures,FAVOR,pos
@Super76x Thank goodness! Protect your babies at all costs Chris. You cannot rely on this administration and the #COVIDIOTS to make decisions! I stand behind you and all parents 100% 👊 #NotMyChild,school closures,FAVOR,other
"Social distancing is just a beautiful theory, learners when you turn your back they don’t practice it nor wear masks. Even teaching is not conducive, how do you avoid touching learners scripts?. Even marking class tests? #SchoolsMustShutdown",school closures,FAVOR,neg
"@LgFski @BruceBourgoine So what? So what? Yeah, sure, what's a year in a child's life?   What will happen to the schools and teachers - the entire communities, for that matter?  And oh yeah, not one person under 30 has dies because of #COVID19 #mepolitics #OpenSchools",school closures,FAVOR,neg
@trudykeil We don't know if many kids will be crippled for life by the plague yet. In 20 years we'll probably have a good idea about how seriously we should have kept kids safer at home for another year until the vaccine will hopefully be available.  #CloseTheSchools,school closures,FAVOR,other
Cases continue to rise why should we reopen schools when we have states reverting back to Phase 1 and/or contemplating another shutdown #SchoolsMustShutdown,school closures,FAVOR,neg
@MotherJones Decisions to send children and teachers back to school is being made by adults in quarantine. Repeat that. #NotMyChild,school closures,FAVOR,neg
@mosalty @UFT @NYGovCuomo @NYCMayor @DistCouncil37 @FollowCSA @SenSchumer @AFTunion The entire premise is wrong. There is NO way to teach in full PPE. There is NO way kids keep masks on for 7 hours. Has anyone talking about these things EVER stepped foot inside a classroom to teach?? #SchoolsMustShutdown,school closures,FAVOR,neg
@7News Entering schools and leaving schools. No guessing its not possible to social distance while at school. #NotMyChild,school closures,FAVOR,neg
Either way even if they actually do open it . It’s going to be close in less then 2 weeks . My school can’t even control fights they Think they can control Covid and new rules 🤡🤡🤡🤡🤡#SchoolReopening,school closures,FAVOR,neg
"@ProjectLincoln Coronavirus is too dangerous for Paul Manafort to stay in jail, but they expect our kids to go back to school.  #NotMyChild",school closures,FAVOR,neg
This is why so many parents are against this blanket decision by  @CMOGuj . Children want their schools - online for now till they can run into them again. They miss their teachers and imagine what you will do to them when they will not have schools to return to? #SaveOurSchools,school closures,FAVOR,neg
"@jaygirl1980 So many educational 'categories' of students classified 'special needs.' Vary by state. Learning disabled to multiply 'handicapped' &amp; so much more. Some are more physically vulnerable to COVID. If schools accept some, how to tell parents NO to others? No easy answers. #NotMyChild",school closures,FAVOR,neg
@Acosta The science should be the only thing that matters to reopen schools #NotMyChild,school closures,FAVOR,other
"#AngieMotshega @CyrilRamaphosa @Lesufi close the schools until after the peak period of #COVID19SouthAfrica infection rates, this Karim guy who leads your scientific advisory committee is working for @BillGates; Save the lives of our people #SchoolsMustShutdown",school closures,FAVOR,pos
Our teachers aren't covid bouncers. These must happen: 1. Getting real PPEs' used by front line staff in hospitals not just the sanitizers and only two masks. What nonsense is that. 2. DBE should insure that classrooms have correct ventilation   #SchoolsMustShutdown,school closures,FAVOR,other
"@aging_collins @donwinslow No, its a really simple visual demonstrating that our children and families are at risks. None of the people advocating for schools opening have children who will be impacted by this. Trump, DeVos, Pence... #NotMyChild",school closures,FAVOR,neg
"What @realDonaldTrump and @BetsyDeVosED are orchestrating by opening schools is a veritable human sacrifice on the altar of commerce, which benefits the 1% but is paid entirely by the lower classes. #OpenSchools",school closures,FAVOR,neg
"The colder it becomes the higher the level of Covid-19 cases rise...our children aren’t coping at all. Although the curriculum has to be covered mara not like this,come on now! Most of the learners are in hospitals right now, so what’s the use grand sharp?#SchoolsMustShutdown",school closures,FAVOR,neg
@jaketapper Science is NOT on the side of reopening brick and mortar schools!! #NotMyChild,school closures,FAVOR,neg
"When my 5 yr old nephew sees a mask in our hands he asks if we're going somewhere, he reminds his big brothers to bring a mask when they leave the house. He's adapted. He was excited to start school this year, but I'd rather homeschool all of them than send them in.  #NotMyChild",school closures,FAVOR,pos
"@LeanneManas @SakinaKamwendo Nollen at Madibogo :I think the government must close the schools for this year : and rebuild the schools, toilet furniture books ,and and and #CloseTheSchools",school closures,FAVOR,pos
@joshi_speaks @zoneanthony @anubha1812 I think best option for parents who are not satisfied with online classes is to shift to government schools or take a drop of one year. Many parents are happy with the online classes and let them take the advantage of it. #SaveOurSchools,school closures,FAVOR,pos
"@CBSNews @FaceTheNation @realDonaldTrump SCHOOLS MUST BE CLOSED! Classes must be virtual! You get tested twice or more daily! Anyone who will be near you MUST BE TESTED! School staff, faculty, teachers, &amp; children doesn’t have that privilege! More people/children will die  @BetsyDeVosED  #NotMyChild",school closures,FAVOR,neg
Trump &amp; Gubner Abbott want schools 2 reopen. Every local ISD here is getting *at least* a 5% budget CUT. How exactly do they expect this 2 work?  #TexasCovid19 #SchoolsMustShutdown,school closures,FAVOR,neg
@RepLeeZeldin No testing plan = No school. #NotMyChild,school closures,FAVOR,neg
"I can tell u for free, @MYANC have so many tenders linked to schools, closing schools will mean closing thier Pockets, They rather see teachers and children with chronic illness dying of Covid-19 than losing thier bite on the 500 billion relief package.  #SchoolsMustShutdown",school closures,FAVOR,neg
"The shortsightedness of some people is astounding, and their fealty to Trump, disheartening.   #LetSanityRule #NotMyChild #coronavirus  #schoolsreopening #SchoolsMustShutdown",school closures,FAVOR,neg
@MotherJones A study of 39 families. What a joke to base opening schools on. #NotMyChild,school closures,FAVOR,neg
"...technically closing schools would stop the spread of the corona virus sooo, what do ya say school system? close the schools.#CloseTheSchools",school closures,FAVOR,other
"as someone who is autoimmune, i do NOT want to be catching coronavirus... but of course the schools don't care about it 😍😍😍 #CloseTheSchools",school closures,FAVOR,neg
@AliNouriPhD @UROCKlive1 When I read this I can’t help but conclude that opening schools is the worst possible thing we could do. #SchoolsMustShutdown,school closures,FAVOR,other
@JohnCornyn Schools won't be safe until the virus is under control. You are a ghoul. #NotMyChild,school closures,FAVOR,neg
"So the occupants son , Baron’s private school won’t be open, but he wants to send your kids to school. Stop being stupid people. He will put your kids in danger, but not his.  #noschool #Covid_19 #coronavirus #SchoolsMustShutdown",school closures,FAVOR,neg
"Dear Mme Angie, please note that only 6 Grade Rs out of 90 came to school today. Please tell me why are you still sending kids to school?#CloseTheSchools",school closures,FAVOR,neg
"@thekenshain @TheJLV Part 2 of 2. At the end of the day, schools with sealed windows, and interior classrooms will have #Coronavirus buildup that will increase #COVID19 viral load! These building shouldn't be used. Children and teachers are not going to be victims of ""risk mitigation""  #NotMyChild",school closures,FAVOR,neg
@GOP @realDonaldTrump Opening schools in hotspots will force these children to kill their parents and grandparents. #Trump and the #GOP will have blood on their hands. #SchoolsMustShutdown,school closures,FAVOR,neg
"You know the best solution if public school systems refuse to close down, to prevent the spread of coronavirus is for every parent and child call in sick.  Even if your child is not sick, someone will be if schools remain open during this pandemic.  #CloseTheSchools",school closures,FAVOR,other
"I don't care that I have to go to school, I just prefer not to catch a disease that, even though because I'm a child and the survival rate with #COVID19 with children is high, could be brought home to my house and kill my parents. I know it's unlikely, but still. #CloseTheSchools",school closures,FAVOR,neg
"@GOP Trump and Republicans WONT EVEN ALLOW THE CDC to give America guidelines to reopen schools. Republicans won’t fund what schools need to be safe. 138,000 deaths aren’t enough? You want to sacrifice our kids too? #NotMyChild",school closures,FAVOR,neg
@donwinslow @Fythia Trump wants schools open so he can say things are opening up. Trump thinks that opening schools and opening the economy will help his re-election bid. Trump does not think about the children at all.  #NotMyChild,school closures,FAVOR,neg
@twobluecats I couldn’t agree more! #DeVosKillsChildren #DeVosMustGo #KeepSchoolsClosed #CloseTheSchools,school closures,FAVOR,neg
They shouldn't open the school.. keep it online and donate some laptops and some wifi. #SchoolReopening,school closures,FAVOR,other
"@realDonaldTrump It's too dangerous to hold the RNC, but let's send students and teachers back to school  #TrumpLiesAmericansDie  #NotMyChild",school closures,FAVOR,neg
@W7VOA @GOPconvention Children over age 10 have been shown to transmit the virus at the same rate as adults.   There are a whole lot of kids age 10-18 that are going to carry the disease all through their schools and out into the communities. #GOPDeathCult  #CloseTheSchools,school closures,FAVOR,neg
I will be homeschooling my son if our district doesn't offer an online option.  I won't be sacrificing anyone for Trump's reelection campaign or the economy.  #NotMyChild,school closures,FAVOR,neg
@liloakers @AliciaG19789176 @ThePantherBlacL @PostPunkBarbie @ThisCrazyLife3 @DHSCgovuk It seems the whole world is social distancing other than schools in the #UK. You couldn't make it up. I can't see teachers going in myself. #CoronaVirusUpdates #COVID19 #coronavirusuk #CoronavirusPandemic #coronavirus #closeschoolsuk #CloseTheSchools,school closures,FAVOR,neg
"“Students need to return to the classroom so their parents can return to work.-Donald Trump  “Kids are actually stoppers of the virus."" -Betsy DeVos  THIS is who decided to reopen schools.   These 2 liars are okay risking OUR kidshealth &amp; lives. #NotMyKid #NotMyChild",school closures,FAVOR,neg
"All the educated people are supporting #OnlineEducation under these circumstances. The ones who are opposing it only shows how illiterate they are. Not their fault, they didn’t get good schools. And the same will happen if kids today don’t get quality education. #SaveOurSchools",school closures,FAVOR,neg
"Oh, it’s going to be “a safe reopening of the schools.  We can all stop worrying. Donald Trump says it will be safe, so it will be safe because he says so. When has he ever been wrong before?  What is his strategy? That it will be safe. Simple.    #TrumpsAmerica #OpenSchools",school closures,FAVOR,neg
"@Morning_Joe @Laurie_Garrett There are bus stops for all kids in public school, they can be used to deliver &amp; distribute take-home meals daily for kids while schools are closed. #NotMyChild",school closures,FAVOR,pos
"Republicans: ""All lives matter!""  *is asked to wear a mask for the sake of others*  Republicans: ""No, not like that!""  #notmykid #NotMyChild",school closures,FAVOR,neg
"I live in King County, two towns from the epicenter of COVID-19  Schools are open but 1/2 full  At elem schools, kids sneeze, spit when talking, eat from a salad bar &amp; might be carriers w few symptoms  CLOSE, subsidize needed school lunches &amp; send teachers home  #CloseTheSchools",school closures,FAVOR,neg
"Trying to figure out how a govenor “can’tmandate masks, but is saying schools MUST open in person @henrymcmaster #Hypocrite #sceducation @SCforEd #teacher #SchoolsMustShutdown",school closures,FAVOR,neg
"@AprilDRyan My two sons, two kids each will not be sending their kids.  One son is a high school teacher whose school will continue on zoom.  His union will strike if told to return.  #SchoolReopening #schools #SchoolsMustShutdown",school closures,FAVOR,other
@MercerYou I could not be more disappointed. As a public health professional taking night classes your decision to remain open in a serious pandemic puts me and everyone else at great risk. You should be ashamed!! #COVID19 #CoronavirusPandemic #PublicHealth #CloseTheSchools,school closures,FAVOR,neg
"Close schools , put teachers on unpaid leave and let them apply for TERS like private school teachers #SchoolsMustShutdown",school closures,FAVOR,other
Someone in my town has CoVID-19 and they have yet to cancel school. #CloseTheSchools,school closures,FAVOR,neg
Trump and the Republican party- abortion is a sin and it's murdering babies. Also Trump and the Republicans- We are completely reopening schools this fall and we don't care if kids die due to the virus. The hypocrisy here. #NotMyChild,school closures,FAVOR,neg
"@ChuckGrassley @realDonaldTrump So when are you, Trump and the GOP going to care about keeping kids safe?  #CloseTheSchools",school closures,FAVOR,neg
"@DanielAndrewsMP CLOSE THE SCHOOLS! Back to remote learning until the cases drop. What would you rather; the cases to drop, or the people to drop...dead, because of Coronavirus? Schools cannot contain and maintain this pandemic. #COVID19 #Coronavirus #CloseTheSchools",school closures,FAVOR,neg
"A parent asked reason 4 stopping online lrng. I explained to him the entire situation &amp; he said,' What about parents who r willing 2 pay fees? And why shouldn't we? The situation is not created by schools, it's affecting entire wrld, then why do u hv 2 suffer?' #SaveOurSchools",school closures,FAVOR,neg
I'd rather a child be held back a grade than to wipe out their immediate family members with this contagion. #vaccine #pandemic #coronavirus #Covid19 #NotMyChild,school closures,FAVOR,neg
My kid refused to go to school today and I was also not gonna take her even if she wanted to  Schools must be closed   #MoneyHeist  #mbali  ##SchoolMustClose #SchoolsMustShutdown,school closures,FAVOR,neg
@wnpr Why are we just accepting schools reopening as inevitable?   “Science should not stand in the way of schools reopening.-Someone who is not sending her own kids to school #NotMyKid #NotMyChild,school closures,FAVOR,neg
"@donwinslow POS in Chief promised to protect us. That promise should have included our children, teachers, and everyone who works in our schools. Not just the 1%. But the smart ones knew. And we voted for Hillary. #NotMyChild",school closures,FAVOR,neg
"@PamKeithFL @ACLU Florida does NOT meet re-open criteria.  Schools do NOT pass the 3 C's  Closed Spaces, Close Contact, Crowded Areas.   Since Florida Fails the CDC guidelines it is my duty as a Parent to say MY CHILD will not be in a ""brick and mortar"" school.  #FloridaCovidEpicenter  #NotMyChild",school closures,FAVOR,other
"Please tell the government to shut down schools and pay teachers without bringing up the child support grant as if it's not important yona. I don't understand why people always attack people who earn grant, it's for kids, they are innocent they need it. #SchoolsMustShutdown",school closures,FAVOR,other
Hit like if you want schools to shutdown. #SchoolsMustShutdown,school closures,FAVOR,pos
"“A major teachers union in Los Angeles says the district can’t re-open schools until there is a ‘moratoriumon charter schools.""   With good reason. Charter schools do not protect teachers, refuse troubled students, drain money and talent from our school system. #SaveOurSchools",school closures,FAVOR,neg
Schools must shutdown I'm not sending my child to school #SchoolsMustShutdown,school closures,FAVOR,pos
"All these parents claiming their kids won’t wear masks if schools open...Okay, then kids can bring peanut butter to school again because all death options matter. Schools should not open!  #COVID19 #coronavirus #SchoolReopening #SchoolsMustShutdown",school closures,FAVOR,neg
"Quoting Sadhguru, edited for this context - ""No one is expecting Online Education to be perfect, but Schools are constantly striving to be better; in the best way possible under these circumstances to bridge the GAP in learning. THAT IS ALL THAT MATTERS."" #SaveOurSchools",school closures,FAVOR,pos
@DanCrenshawTX Don’t reopen schools in the fall. Protect your children from a failed government and the deluded sycophants that continue to support it. #NotMyChild,school closures,FAVOR,neg
"Pro lifers:  Life begins at conception We must protect all those babies  Also pro lifers: Send the kids to schools or defund them! We know we’re in the middle of a pandemic and some may not make it, but we have to take the chances. #NotMyChild",school closures,FAVOR,neg
"To all of the Anti-Masker Moms:  Not being able to see your infected child, or infected spouse infected by your infected child while on a ventilator really sucks. But you know what sucks worse?  Casket &amp; urn shopping. #WearAMask #SchoolsMustShutdown",school closures,FAVOR,neg
Is wrong with this picture? You need to get off your butt and force the mask mandate and quit kissing the failing #individual1’s butt. Newton county just had another death and you want to force our children to go to schools? #NotMyChild,school closures,FAVOR,neg
"You can fine me now, I'm not sending my kid to a petri dish of bacteria that is CCSD schools. And that's before the COVID outbreak. They can't protect our kids from each other, there's no way they can against this. #NotMyChild",school closures,FAVOR,neg
"@seanmdav If Malls are not opening because of concerns with recirculated air #Ventilation HVAC systems spreading Coronavirus. Schools with sealed windows, interior classrooms, &amp; the same recirculated air ventilation that fans #Coronavirus around shouldn't open.  #NotMyChild",school closures,FAVOR,neg
"@ASlavitt No school is worth attending if it means your kid’s/kids’funeral, memorial service or cremation will be held w/in about 3 wks, more or less because of it!   #COVID19  #SchoolsMustShutdown",school closures,FAVOR,neg
"If you fail to protect a child that is called neglect. Any parent that sends their child back to school in the middle of this #TrumpVirus should be charged accordingly. I would be in jail, no way in hell would I put mine in known danger. #schoolsreopening #COVID19 #NotMyChild",school closures,FAVOR,neg
"Dear President @CyrilRamaphosa, I'm a teacher who has tested positive for  COVID-19. Please shut down schools to protect our children. Economies can be revived, not lives #COVID19 #PresidentialImbizo #SchoolsMustShutdown",school closures,FAVOR,other
"I challenge @realDonaldTrump @PressSec @GovRonDeSantis @BetsyDeVosED  to attend schools 5 days a week, 7 hrs a day when schools reopen. Come on in, sit in a desk, use the kids' restrooms, navigate the crowded halls, ride the bus, sit in the cafeteria if it's so safe. #NotMyChild",school closures,FAVOR,neg
"It's not just about #Gujarat It's about the entire nation. We need to save schools throughout India. We need to protect the rights of every child in India. No school in any state, no teacher in any state and no student in any state should be  left behind. #SaveOurSchools",school closures,FAVOR,pos
I don’t get why we are waiting for coronavirus to get to our campuses before closing them. The spread will be much worse when it reaches the campus so closing before that can happen is the only logical way to combat it #CloseTheSchools,school closures,FAVOR,neg
"If Harvard is still doing distant learning, then we all should be distant learning. #CoronavirusUSA  #CloseTheSchools",school closures,FAVOR,pos
@CBSNews Send your kids to public schools first.  #NotMyChild,school closures,FAVOR,neg
